Nom_Hotel,Adresse,Site_Web,Domaine,LinkedIn_Company,Source_LinkedIn,Email_Trouve,Type_Email,Nom_Associe
Hôtel Kyriad Le Mans,345 Av. Bollée 72000 Le Mans France,https://le-mans-est.kyriad.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google,le-mans-est.kyriad.com,,,,,
Hôtel Kyriad Limoges Feytiat,PA DU PONTEIX Ponteix 87220 Feytiat France,https://limoges-sud-feytiat.kyriad.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google,limoges-sud-feytiat.kyriad.com,,,,,
Hôtel Kyriad Meaux Sud - Nanteuil-lès-Meaux,23 Av. de la Foulée 77100 Nanteuil-lès-Meaux France,https://meaux-sud-nanteuil-les-meaux.kyriad.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google,meaux-sud-nanteuil-les-meaux.kyriad.com,,,,,
Hôtel Kyriad Nancy Ludres,338 Rue Bertholet 54710 Ludres France,https://nancy-sud-ludres.kyriad.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google,nancy-sud-ludres.kyriad.com,,,,,
Hôtel Kyriad Prestige - Sarrebourg Les Terrasses,ZAC les Terrasses de la Sarre 57400 Sarrebourg France,https://prestige-sarrebourg-les-terrasses.kyriad.com/,prestige-sarrebourg-les-terrasses.kyriad.com,,,,,
Hôtel Kyriad Saint Chély d'Apcher - Aire de la Lozère,Aire de la Garde A 75 sortie 32 - Aire de la Lozère 48200 La Garde France,http://www.kyriad.com/fr/hotels/kyriad-saint-chely-dapcher-aire-de-la-lozere,kyriad.com,,,,,
Hôtel l' Appollu,Sotto alla Chiesa 20237 La Porta France,https://www.lappollu.com/,lappollu.com,,,,,
Hôtel L’ange de la vallée (Bellignat/ Oyonnax),54 Av. d'Oyonnax 01100 Bellignat France,http://www.hotellangedelavallee.com/,hotellangedelavallee.com,,,,,
Hôtel La Bastide de Boulbon,Rue de L Hôtel de ville 13150 Boulbon France,http://www.labastidedeboulbon.com/,labastidedeboulbon.com,,,contact@labastidedeboulbon.com,Générique,La Bastide
Hôtel La Bastide de Saint-Tropez,Rte des Carles 83990 Saint-Tropez France,http://www.bastide-saint-tropez.com/,bastide-saint-tropez.com,,,,,
Hôtel La Bastide d'Eygalières,765 Chem. de Pestelade 13810 Eygalières France,http://www.hotellabastide.com/,hotellabastide.com,,,,,
Hôtel LA BASTIDE D'IRIS,280 Route de Barjac 07150 Vagnas France,https://www.labastidediris.com/,labastidediris.com,,,bienvenue@labastidediris.com,Nominatif,La Bastide
Hôtel La Bastide Gourmande,660 Rte de Cagnes 06480 La Colle-sur-Loup France,http://www.labastidehotel.fr/,labastidehotel.fr,,,,,
Hôtel La Bastide Saint Georges,Route de Banon 04300 Forcalquier France,https://www.bastidesaintgeorges.com/?utm_source=gmb,bastidesaintgeorges.com,,,,,
